Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
99e3977c29bf8280e178c793f62ce107,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__uncultured_bacterium,ASV5055
0e38e23e86195b405a221692a190029c,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__BIrii41,,ASV2876
7b526857343436237c3cca9ff499efdd,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__uncultured_o__Vicinamibacterales,g__uncultured_o__Vicinamibacterales,s__uncultured_bacterium,ASV660
cbf1967a775868c542435609b478a934,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__uncultured_f__Caldilineaceae,s__uncultured_Anaerolineaceae,ASV7720
a91768601d53da785c8ff1e63c5b79f8,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,,ASV4293
39a19c6773799064933938b7d0591611,d__Bacteria,p__Chloroflexi,c__OLB14,o__OLB14,f__OLB14,g__OLB14,s__uncultured_bacterium,ASV413
67c00424c626cbad624edcfe7a848cd9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,ASV1522
aca3990b2cd15fdda88c1dbcdc775b73,d__Bacteria,p__Elusimicrobiota,c__Lineage_IIa,o__Lineage_IIa,f__Lineage_IIa,g__Lineage_IIa,,ASV3974
2402f0b29068274dd5cd9583a950fdb9,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,,ASV1052
4e9c78f474c88236450d298bbbe90758,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__uncultured_o__Elsterales,g__uncultured_o__Elsterales,,ASV3940
d430d02babe55a702273a5bc0d891dc0,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Pajaroellobacter,,ASV3107
3fda719ee1a7224d54de9316f43b4ca2,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Vicinamibacteraceae,,ASV2671
84d55bcc480ae3af5ed9253833541f4b,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__CCD24,f__CCD24,g__CCD24,,ASV6696
0809c2d20cac91250e231622f52817fc,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Azoarcus,,ASV1569
cc9de79b40bb56161bd37ad38901c8ca,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__uncultured_o__Vicinamibacterales,g__uncultured_o__Vicinamibacterales,,ASV4080
8f03a19d922ca6f90ae1b5865e8c8de2,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__SBR1031,g__SBR1031,s__uncultured_soil,ASV2151
b7cff136b59e33f6a01506a9ccbdab80,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,,ASV3112
e23029b613f2a8d787e37ef8cb299a0d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,s__uncultured_Phyllobacteriaceae,ASV1498
9f99ca874350fe7b6580f31cab537fc6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,,ASV3635
